Atomic Number	Atomic Symbol	Mass Number	Relative Atomic Mass (monoisotopic)	Relative Atomic Mass Uncertainty	Isotopic Composition	Isotopic Composition Uncertainty	Standard Atomic Weight (average mass)	Standard Weight Uncertainty	Notes
1	H	1	1.00782503223	9E-11	0.999885	7E-05	1.007975	0.000135	m
2	He	4	4.00260325413	6E-11	0.99999866	3E-08	4.002602	2E-06	g,r
3	Li	7	7.0160034366	4.5E-09	0.9241	0.0004	6.9675	0.0295	m
4	Be	9	9.012183065	8.2E-08	1		9.0121831	5E-07	
5	B	11	11.00930536	4.5E-07	0.801	0.007	10.8135	0.0075	m
6	C	12	12	0	0.9893	0.0008	12.0106	0.001	
7	N	14	14.00307400443	2E-10	0.99636	0.0002	14.006855	0.000425	
8	O	16	15.99491461957	1.7E-10	0.99757	0.00016	15.9994	0.00037	
9	F	19	18.99840316273	9.2E-10	1		18.998403163	6E-09	
10	Ne	20	19.9924401762	1.7E-09	0.9048	0.0003	20.1797	0.0006	g,m
11	Na	23	22.989769282	1.9E-09	1		22.98976928	2E-08	
12	Mg	24	23.985041697	1.4E-08	0.7899	0.0004	24.3055	0.0015	
13	Al	27	26.98153853	1.1E-07	1		26.9815385	7E-07	
14	Si	28	27.97692653465	4.4E-10	0.92223	0.00019	28.085	0.001	
15	P	31	30.97376199842	7E-10	1		30.973761998	5E-09	
16	S	32	31.9720711744	1.4E-09	0.9499	0.0026	32.0675	0.0085	
17	Cl	35	34.968852682	3.7E-08	0.7576	0.001	35.4515	0.0055	m
18	Ar	40	39.9623831237	2.4E-09	0.996035	2.5E-05	39.948	0.001	g,r
19	K	39	38.9637064864	4.9E-09	0.932581	4.4E-05	39.0983	0.0001	
20	Ca	40	39.962590863	2.2E-08	0.96941	0.00156	40.078	0.004	g
21	Sc	45	44.95590828	7.7E-07	1		44.955908	5E-06	
22	Ti	48	47.94794198	3.8E-07	0.7372	0.0003	47.867	0.001	
23	V	51	50.94395704	9.4E-07	0.9975	4E-05	50.9415	0.0001	
24	Cr	52	51.94050623	6.3E-07	0.83789	0.00018	51.9961	0.0006	
25	Mn	55	54.93804391	4.8E-07	1		54.938044	3E-06	
26	Fe	56	55.93493633	4.9E-07	0.91754	0.00036	55.845	0.002	
27	Co	59	58.93319429	5.6E-07	1		58.933194	4E-06	
28	Ni	58	57.93534241	5.2E-07	0.68077	0.00019	58.6934	0.0004	r
29	Cu	63	62.92959772	5.6E-07	0.6915	0.0015	63.546	0.003	r
30	Zn	64	63.92914201	7.1E-07	0.4917	0.0075	65.38	0.02	r
31	Ga	69	68.9255735	1.3E-06	0.60108	9E-05	69.723	0.001	
32	Ge	72	71.922075826	8.1E-08	0.2745	0.0032	72.63	0.008	
33	As	75	74.92159457	9.5E-07	1		74.921595	6E-06	
34	Se	80	79.9165218	1.3E-06	0.4961	0.0041	78.971	0.008	r
35	Br	79	78.9183376	1.4E-06	0.5069	0.0007	79.904	0.003	
36	Kr	84	83.9114977282	4.4E-09	0.56987	0.00015	83.798	0.002	g,m
37	Rb	85	84.9117897379	5.4E-09	0.7217	0.0002	85.4678	0.0003	g
38	Sr	88	87.9056125	1.2E-06	0.8258	0.0001	87.62	0.01	g,r
39	Y	89	88.9058403	2.4E-06	1		88.90584	2E-05	
40	Zr	90	89.9046977	2E-06	0.5145	0.004	91.224	0.002	g
41	Nb	93	92.906373	2E-06	1		92.90637	2E-05	
42	Mo	98	97.90540482	4.9E-07	0.2439	0.0037	95.95	0.01	g
43	Tc	98	97.9072124	3.6E-06			98		
44	Ru	102	101.9043441	1.2E-06	0.3155	0.0014	101.07	0.02	g
45	Rh	103	102.905498	2.6E-06	1		102.9055	2E-05	
46	Pd	106	105.9034804	1.2E-06	0.2733	0.0003	106.42	0.01	g
47	Ag	107	106.9050916	2.6E-06	0.51839	8E-05	107.8682	0.0002	g
48	Cd	114	113.90336509	4.3E-07	0.2873	0.0042	112.414	0.004	g
49	In	115	114.903878776	1.2E-08	0.9571	0.0005	114.818	0.001	
50	Sn	120	119.90220163	9.7E-07	0.3258	0.0009	118.71	0.007	g
51	Sb	121	120.903812	3E-06	0.5721	0.0005	121.76	0.001	g
52	Te	130	129.906222748	1.2E-08	0.3408	0.0062	127.6	0.03	g
53	I	127	126.9044719	3.9E-06	1		126.90447	3E-05	
54	Xe	132	131.9041550856	5.6E-09	0.269086	3.3E-05	131.293	0.006	g,m
55	Cs	133	132.905451961	8E-09	1		132.90545196	6E-08	
56	Ba	138	137.905247	3.1E-07	0.71698	0.00042	137.327	0.007	
57	La	139	138.9063563	2.4E-06	0.9991119	7.1E-06	138.90547	7E-05	g
58	Ce	140	139.9054431	2.3E-06	0.8845	0.00051	140.116	0.001	g
59	Pr	141	140.9076576	2.3E-06	1		140.90766	2E-05	
60	Nd	142	141.907729	2E-06	0.27152	0.0004	144.242	0.003	g
61	Pm	145	144.9127559	3.3E-06			145		
